initialPrice,sector,daysBeatSP,spvalue,priceChange100Days
17.6,Health Care,131,1946.17,0.6693181818181816
9.37,Technology,125,1698.67,0.3383137673425827
34.91,Health Care,138,1418.55,0.29561730163277
19.5,Health Care,70,2575.21,1.7774358974358972
22.16,Finance,126,2013.43,-0.21028880866425995
22.0,Finance,115,2078.58,0.26772727272727276
13.8,Finance,127,2104.05,0.011594202898550735
24.78,Finance,87,2468.11,0.01049233252623075
24.85,Finance,127,2164.69,-0.10100603621730388
29.0,Technology,124,2046.61,2.5613793103448277
5.87,Technology,58,2587.84,1.1993185689948893
17.94,Consumer Services,117,1399.98,-0.031215161649944385
11.0,Health Care,128,1995.83,0.690909090909091
15.51,Health Care,124,2080.15,-0.23920051579626042
7.0,Health Care,93,1733.15,0.26428571428571423
14.0,Health Care,125,1833.08,0.28499999999999986
48.12,Capital Goods,147,2126.5,0.40876974231088964
6.53,Capital Goods,89,2432.46,-0.2572741194486984
30.6,Health Care,124,2106.63,-0.3620915032679739
19.51,Public Utilities,130,2160.77,0.12762685802152735
24.05,Health Care,134,1930.67,1.0939708939708939
10.25,Health Care,124,1759.77,0.9512195121951219
49.35,Energy,122,2092.83,-0.19554812563323204
5.85,Finance,125,1519.43,0.4717948717948718
12.81,Consumer Non-Durables,130,2040.59,0.47306791569086654
5.63,Health Care,125,1985.54,0.010657193605683925
27.16,Health Care,131,1685.94,-0.3302650957290132
9.61,Health Care,117,2041.91,-0.38917793964620184
24.56,Consumer Services,132,1878.21,0.0
24.85,Consumer Services,79,2430.01,0.03943661971830973
36.12,Public Utilities,129,2041.89,0.11821705426356599
5.05,Health Care,128,1900.53,0.19207920792079203
12.5,Health Care,124,1849.04,0.6856
11.25,Finance,121,1632.69,-0.07111111111111118
19.5,Consumer Services,117,1770.49,-0.2415384615384616
9.75,Health Care,50,2269.0,0.014358974358974418
9.82,Health Care,73,2136.73,0.058044806517311635
17.5,Health Care,120,2083.56,0.13599999999999995
7.3606,Technology,111,2184.05,0.9563622530771949
14.0,Consumer Services,106,2096.99,0.014285714285714235
12.81,Health Care,114,1868.2,-0.12412177985948476
20.62,Health Care,117,1872.01,0.019883608147429687
8.1,Health Care,114,2459.27,1.3222222222222222
250.0,Health Care,26,1625.96,-0.2
9.5,Health Care,129,1875.63,0.3221052631578948
6.01,Health Care,123,1881.14,0.2312811980033279
26.18,Consumer Services,127,1329.1,0.1417112299465241
47.49,Consumer Services,128,1791.53,0.08696567698462825
25.8065,Finance,105,1792.5,-0.04365179315288784
9.77,Health Care,57,2579.85,-0.10337768679631523
15.9,Technology,130,2101.49,0.014465408805031362
10.37,Health Care,94,2419.7,0.09064609450337525
22.7,Capital Goods,134,1402.6,-0.2312775330396476
16.55,Technology,64,2579.36,0.9009063444108761
27.82,Public Utilities,122,2023.57,-0.13156002875629044
6.0,Technology,134,1432.56,0.625
18.0,Finance,120,1582.7,0.11555555555555547
16.2,Technology,116,1866.52,-0.1759259259259259
18.9,Consumer Services,134,1810.65,0.16507936507936513
954.0,Health Care,94,1829.83,-0.16037735849056603
21.56,Public Utilities,107,2389.52,-0.09369202226345082
15.5,Consumer Services,133,1706.87,0.04580645161290328
6.67,Health Care,128,1959.53,0.5067466266866568
9.82,Finance,104,2388.33,0.036659877800407276
12.49,Basic Industries,115,1858.83,-0.05684547638110495
15.17,Health Care,140,2296.68,0.5425181278839815
55.0,Technology,127,1949.44,0.3623636363636365
9.35,Consumer Non-Durables,123,1432.56,-0.2459893048128342
50.25,Health Care,130,2088.0,-0.011542288557213896
23.375,Technology,133,1689.47,5.470588235294118
35.14,Finance,132,1544.26,0.5244735344336938
